"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"83",6,"Zack Moss",BUF,"RB35","7","3 out of 5 stars","-12.0"
"84",6,"James Conner",ARI,"RB36","12","3 out of 5 stars","-6.0"
"85",6,"Michael Thomas",NO,"WR33","6","4 out of 5 stars","+47.0"
"86",6,"Tyler Boyd",CIN,"WR34","10","2 out of 5 stars","-10.0"
"87",6,"Jerry Jeudy",DEN,"WR35","11","4 out of 5 stars","-11.0"
"88",6,"Deebo Samuel",SF,"WR36","6","5 out of 5 stars","+2.0"
"89",6,"Michael Carter",NYJ,"RB37","6","4 out of 5 stars","+1.0"
"90",6,"Trey Sermon",SF,"RB38","6","3 out of 5 stars","-16.0"
"91",6,"Brandin Cooks",HOU,"WR37","10","3 out of 5 stars","-11.0"
"92",6,"Ryan Tannehill",TEN,"QB9","13","2 out of 5 stars","-5.0"
"93",6,"Kenyan Drake",LV,"RB39","8","2 out of 5 stars","+1.0"
"94",6,"Tom Brady",TB,"QB10","9","2 out of 5 stars","+19.0"
"95",6,"Will Fuller V",MIA,"WR38","14","3 out of 5 stars","-5.0"
"96",6,"Logan Thomas",WAS,"TE9","9","3 out of 5 stars","+3.0"
"97",6,"Robert Tonyan",GB,"TE10","13","3 out of 5 stars","-25.0"
"98",6,"Jalen Hurts",PHI,"QB11","14","4 out of 5 stars","+19.0"
"99",6,"Curtis Samuel",WAS,"WR39","9","3 out of 5 stars","-13.0"
"100",6,"AJ Dillon",GB,"RB40","13","0 out of 5 stars","+9.0"
"101",6,"Matthew Stafford",LAR,"QB12","11","4 out of 5 stars","+12.0"
"102",6,"DeVonta Smith",PHI,"WR40","14","3 out of 5 stars","+17.0"
"103",6,"Jarvis Landry",CLE,"WR41","13","1 out of 5 stars","0.0"
"104",6,"Joe Burrow",CIN,"QB13","10","2 out of 5 stars","+3.0"
"105",6,"Tyler Higbee",LAR,"TE11","11","2 out of 5 stars","-13.0"
"106",6,"Gus Edwards",BAL,"RB41","8","4 out of 5 stars","-3.0"
"107",6,"Devin Singletary",BUF,"RB42","7","3 out of 5 stars","0.0"
"108",6,"Mike Gesicki",MIA,"TE12","14","4 out of 5 stars","+4.0"
"109",6,"Jamaal Williams",DET,"RB43","9","0 out of 5 stars","-19.0"
"110",6,"Tony Pollard",DAL,"RB44","7","2 out of 5 stars","-4.0"
"111",6,"Nyheim Hines",IND,"RB45","14","4 out of 5 stars","-6.0"
"112",6,"Latavius Murray",NO,"RB46","6","2 out of 5 stars","-20.0"
"113",6,"Laviska Shenault Jr.",JAC,"WR42","7","5 out of 5 stars","-10.0"
"114",6,"Corey Davis",NYJ,"WR43","6","4 out of 5 stars","-15.0"
"115",6,"Antonio Brown",TB,"WR44","9","2 out of 5 stars","+5.0"
